feature_id,compound_name,match_level,issue_category,provided_ids
10041,Sphingomyelin,MS1,Lipid,
10042,Phosphatidylcholine,MS2,Lipid,
10043,Carnitine,MS1,Common name,HMDB0000062
10044,Acetylcarnitine,MS2,Common name,HMDB0000201
10045,Propionylcarnitine,MS1,Common name,HMDB0000824
10046,Butyrylcarnitine,MS2,Common name,HMDB0002013
10047,Hippuric acid,MS1,Common name,HMDB0000714
10048,Indoxyl sulfate,MS2,Uremic toxin,HMDB0000682
10049,p-Cresol sulfate,MS1,Uremic toxin,HMDB0011635
10050,Trimethylamine N-oxide,MS2,Gut metabolite,HMDB0000925
10051,Betaine,MS1,Common name,HMDB0000043
10052,Choline,MS2,Common name,HMDB0000097
10053,Acetylcholine,MS1,Neurotransmitter,HMDB0000895
10054,Serotonin,MS2,Neurotransmitter,HMDB0000259
10055,Dopamine,MS1,Neurotransmitter,HMDB0000073
10056,Norepinephrine,MS2,Neurotransmitter,HMDB0000216
10057,GABA,MS1,Neurotransmitter,HMDB0000112
10058,Glutathione,MS2,Antioxidant,HMDB0000125
10059,Uric acid,MS1,Common name,HMDB0000289
10060,Hypoxanthine,MS2,Purine,HMDB0000157
10061,Xanthine,MS1,Purine,HMDB0000292
10062,Adenosine,MS2,Nucleoside,HMDB0000050
10063,Guanosine,MS1,Nucleoside,HMDB0000133
10064,Inosine,MS2,Nucleoside,HMDB0000195
10065,Nicotinamide,MS1,Vitamin,HMDB0001406
10066,Riboflavin,MS2,Vitamin,HMDB0000244
10067,Pantothenic acid,MS1,Vitamin,HMDB0000210
10068,Biotin,MS2,Vitamin,HMDB0000030
10069,Folic acid,MS1,Vitamin,HMDB0000121
10070,Ascorbic acid,MS2,Vitamin,HMDB0000044
10071,Alpha-tocopherol,MS1,Vitamin,HMDB0001893
10072,Retinol,MS2,Vitamin,HMDB0000305
10073,Cortisol,MS1,Steroid,HMDB0000063
10074,Testosterone,MS2,Steroid,HMDB0000234
10075,Estradiol,MS1,Steroid,HMDB0000151
10076,Progesterone,MS2,Steroid,HMDB0001830
10077,Bile acid,MS1,Bile acid,
10078,Glycocholic acid,MS2,Bile acid,HMDB0000138
10079,Taurocholic acid,MS1,Bile acid,HMDB0000036
10080,Chenodeoxycholic acid,MS2,Bile acid,HMDB0000518
10081,Deoxycholic acid,MS1,Bile acid,HMDB0000626
10082,Bilirubin,MS2,Heme,HMDB0000054
10083,Creatine,MS1,Common name,HMDB0000064
10084,Ornithine,MS2,Amino acid,HMDB0000214
10085,Citrulline,MS1,Amino acid,HMDB0000904
10086,Homocysteine,MS2,Amino acid,HMDB0000742
10087,Taurochenodeoxycholic acid,MS1,Bile acid,HMDB0000951
10088,Kynurenine,MS2,Tryptophan pathway,HMDB0000684
10089,Quinolinic acid,MS1,Tryptophan pathway,HMDB0000232
10090,Picolinic acid,MS2,Tryptophan pathway,HMDB0002243
10091,3-Hydroxybutyric acid,MS1,Ketone body,HMDB0000357
10092,Acetoacetic acid,MS2,Ketone body,HMDB0000060
10093,Methylmalonic acid,MS1,Organic acid,HMDB0000202
10094,Propionic acid,MS2,Short-chain fatty acid,HMDB0000176
10095,Butyric acid,MS1,Short-chain fatty acid,HMDB0000039
10096,Acetic acid,MS2,Short-chain fatty acid,HMDB0000042
10097,Isovaleric acid,MS1,Short-chain fatty acid,HMDB0000718
10098,2-Hydroxybutyric acid,MS2,Organic acid,HMDB0000008
10099,3-Methyl-2-oxovaleric acid,MS1,Branched-chain keto acid,HMDB0000491
10100,4-Hydroxyphenylacetic acid,MS2,Phenolic acid,HMDB0000020
